rank	word	occurrences (ppm)	lemma forms
270.	entre	379	entre
271.	minutos	379	minuto
272.	digo	378	decir
273.	algún	378	algún
274.	serio	375	serio
275.	cuidado	372	cuidar cuidado
276.	pasó	371	pasar
277.	buenas	370	bueno
278.	somos	369	ser
279.	amor	369	amor
280.	puerta	364	puerta
281.	ves	363	ver
282.	vaya	363	ir
283.	ah	363	ah
284.	suerte	358	suerte
285.	eh	357	eh
286.	rápido	357	rápido
287.	cuenta	354	contar cuenta
288.	quizás	352	quizás
289.	esas	349	ese
290.	pues	348	pues
291.	pasado	344	pasar pasado
292.	pensé	344	pensar
293.	todavía	340	todavía
294.	hermano	340	hermano
295.	debes	338	deber
296.	casi	338	casi
297.	forma	337	forma
298.	aqui	336	aquí
299.	chico	335	chico
300.	ok	334	ok
301.	dicho	333	decir dicho
302.	nueva	332	nuevo nueva
303.	sabía	332	saber
304.	muchas	332	mucho
305.	dentro	331	dentro
306.	hice	330	hacer
307.	contra	329	contra
308.	auto	327	auto
309.	camino	325	camino caminar
310.	ayuda	325	ayuda ayudar
311.	primera	325	primero primera
312.	hacia	324	hacia
313.	vi	324	ver
314.	miedo	324	miedo
315.	adiós	322	adiós
316.	primero	322	primero
317.	debería	321	deber
318.	poder	318	poder
319.	niños	316	niño
320.	sería	316	ser
321.	historia	316	historia
322.	hey	315	hey
323.	mientras	314	mientras
324.	ciudad	313	ciudad
325.	dijiste	313	decir
326.	espero	310	esperar
327.	cuánto	309	cuánto
328.	esposa	309	esposa esposar
329.	pronto	308	pronto
330.	chicos	307	chico
331.	cualquier	307	cualquier
332.	viejo	307	viejo
333.	debemos	307	deber
334.	deja	306	dejar
335.	año	305	año
336.	muerte	304	muerte
337.	hablando	304	hablar
338.	manos	304	mano
339.	da	304	dar
340.	loco	303	loco
341.	problemas	300	problema
342.	mano	299	mano
343.	guerra	298	guerra
344.	semana	296	semana
345.	pasar	295	pasar
346.	vale	294	valer vale
347.	cuál	292	cuál
348.	viene	292	venir
349.	volver	288	volver
350.	toma	288	tomar
351.	caso	288	caso casar
352.	agua	287	agua
353.	haré	287	hacer
354.	vete	286	ir
355.	entiendo	286	entender
356.	horas	286	hora
357.	personas	285	persona
358.	capitán	284	capitán
359.	adelante	283	adelante
360.	niño	282	niño
361.	listo	282	listo
362.	noches	280	noche
363.	buenos	279	bueno
364.	iba	279	ir
365.	juntos	279	junto
366.	dame	276	dar
367.	único	276	único
368.	déjame	276	dejar
369.	cerca	276	cerca cercar
370.	otros	275	otro
371.	sigue	275	seguir
372.	grande	275	grande
373.	arriba	274	arriba
374.	jefe	274	jefe
375.	habla	273	hablar habla
376.	supongo	271	suponer
377.	manera	271	manera
378.	quieren	270	querer
379.	feliz	270	feliz
380.	significa	269	significar
381.	sangre	269	sangre
382.	fin	268	fin
383.	bajo	268	bajar bajo
384.	llama	267	llamar llama
385.	venir	266	venir
386.	morir	265	morir
387.	importante	264	importante
388.	hiciste	264	hacer
389.	ojos	264	ojo
390.	escucha	263	escuchar
391.	entrar	261	entrar
392.	ningún	260	ninguno
393.	corazón	260	corazón
394.	diablos	259	diablo
395.	necesitamos	259	necesitar
396.	atrás	259	atrás
397.	durante	258	durante
398.	dices	258	decir
399.	nuestros	257	nuestro
400.	persona	257	persona
401.	abajo	256	abajo
402.	dr	255	doctor
403.	hija	255	hija
404.	dejar	254	dejar
405.	necesita	254	necesitar
406.	llegar	254	llegar
407.	hago	253	hacer
408.	señora	252	señora
409.	haya	250	haber haya
410.	suficiente	249	suficiente
411.	doctor	249	doctor
412.	gustaría	248	gustar
413.	tierra	247	tierra
414.	cara	247	cara
415.	siquiera	247	siquiera
416.	genial	246	genial
417.	cree	246	creer
418.	supuesto	244	suponer
419.	tomar	243	tomar
420.	equipo	242	equipo equipar
421.	justo	242	justo
422.	juego	242	juego jugar
423.	ninguna	240	ninguno
424.	matar	240	matar
425.	cinco	238	cinco
426.	dicen	237	decir
427.	amo	237	amo amar
428.	cuándo	236	cuándo
429.	pequeño	235	pequeño
430.	algunos	234	alguno
431.	conozco	233	conocer
432.	clase	233	clase
433.	maldito	231	maldito
434.	unas	231	un
435.	muchos	231	mucho
436.	hubiera	230	haber
437.	segundo	230	segundo
438.	aunque	229	aunque
439.	pueda	229	poder
440.	dime	229	decir
441.	igual	229	igual
442.	comida	229	comida comer
443.	ay	228	ay
444.	cuerpo	228	cuerpo
445.	encontrar	228	encontrar
446.	fuerte	227	fuerte
447.	vuelta	227	vuelta volver
448.	venga	226	venir
449.	creer	225	creer
450.	realidad	224	realidad
451.	saben	222	saber
452.	puta	222	puta
453.	deberías	219	deber
454.	pregunta	219	pregunta preguntar
455.	fui	219	ir ser
