rank	word	occurrences (ppm)	lemma forms
3775.	inconsciente	18	inconsciente
3776.	bastardos	18	bastardo
3777.	abrió	18	abrir
3778.	oyeron	18	oír
3779.	intentaba	18	intentar
3780.	cuartel	18	cuartel
3781.	consciente	18	consciente
3782.	tranquilízate	18	tranquilizar
3783.	suyos	18	suyo
3784.	residencia	18	residencia
3785.	máxima	18	máximo
3786.	llevarla	18	llevar
3787.	grasa	18	grasa
3788.	células	18	célula
3789.	retrocedan	18	retroceder
3790.	recepción	18	recepción
3791.	medicinas	18	medicina
3792.	explotar	18	explotar
3793.	corona	18	corona
3794.	callate	18	callar
3795.	calidad	18	calidad
3796.	ayúdeme	18	ayudar
3797.	asesina	18	asesina asesino asesinar
3798.	absurdo	18	absurdo
3799.	revés	18	revés
3800.	producto	18	producto
3801.	encontrarla	18	encontrar
3802.	dj	18	DJ
3803.	descansa	18	descansar
3804.	copias	18	copia
3805.	apagar	18	apagar
3806.	profesionales	18	profesional
3807.	práctica	18	práctica
3808.	investigando	18	investigar
3809.	francamente	18	francamente
3810.	afganistán	18	Afganistán
3811.	vecino	17	vecino
3812.	trozo	17	trozo
3813.	tómate	17	tomar tomate
3814.	tercero	17	tercero
3815.	sirven	17	servir
3816.	saquen	17	sacar
3817.	manual	17	manual
3818.	enciende	17	encender
3819.	cercano	17	cercano
3820.	bailando	17	bailar
3821.	atras	17	atrás
3822.	usarlo	17	usar
3823.	telefono	17	teléfono
3824.	registros	17	registro
3825.	ponlo	17	poner
3826.	pasta	17	pasta pastar
3827.	lleguen	17	llegar
3828.	saliste	17	salir
3829.	sabrás	17	saber
3830.	limpieza	17	limpieza
3831.	estadounidense	17	estadounidense
3832.	enojada	17	enojado enojar
3833.	desafortunadamente	17	desafortunadamente
3834.	conoció	17	conocer
3835.	pinta	17	pinta pintar
3836.	matamos	17	matar
3837.	funcionan	17	funcionar
3838.	cocinar	17	cocinar
3839.	cima	17	cima
3840.	atractivo	17	atractivo
3841.	preguntes	17	preguntar
3842.	necesitaré	17	necesitar
3843.	lleguemos	17	llegar
3844.	interrumpir	17	interrumpir
3845.	haberla	17	haber
3846.	apropiado	17	apropiado
3847.	presentimiento	17	presentimiento
3848.	intentamos	17	intentar
3849.	finales	17	final
3850.	evitarlo	17	evitar
3851.	enviaré	17	enviar
3852.	deporte	17	deporte
3853.	bajando	17	bajar
3854.	sucia	17	sucio
3855.	recibimos	17	recibir
3856.	pastillas	17	pastilla
3857.	ceremonia	17	ceremonia
3858.	tina	17	tina
3859.	muelle	17	muelle
3860.	maletas	17	maleta
3861.	hijas	17	hija
3862.	desconocido	17	desconocido desconocer
3863.	conseguiré	17	conseguir
3864.	refugio	17	refugio refugiar
3865.	imagina	17	imaginar
3866.	franceses	17	francés
3867.	convertirse	17	convertir
3868.	arruinado	17	arruinado arruinar
3869.	vomitar	17	vomitar
3870.	pasajeros	17	pasajero
3871.	normales	17	normal
3872.	disfraz	17	disfraz
3873.	continúe	17	continuar
3874.	arreglado	17	arreglado arreglar
3875.	aprende	17	aprender
3876.	venimos	17	venir
3877.	tenerte	17	tener
3878.	seguirá	17	seguir
3879.	razonable	17	razonable
3880.	puesta	17	puesta puesto poner
3881.	masaje	17	masaje
3882.	lágrimas	17	lágrima
3883.	gustaria	17	gustar
3884.	extranjero	17	extranjero
3885.	dejaremos	17	dejar
3886.	apellido	17	apellido
3887.	alguacil	17	alguacil
3888.	temporal	17	temporal
3889.	rompe	17	romper
3890.	mayo	17	mayo
3891.	egoísta	17	egoísta
3892.	aceite	17	aceite
3893.	platos	17	plato
3894.	miércoles	17	miércoles
3895.	indios	17	indio
3896.	decimos	17	decir
3897.	bolsas	17	bolsa
3898.	anuncio	17	anuncio
3899.	tirado	17	tirado tirar
3900.	notado	17	notado notar
3901.	mutantes	17	mutante
3902.	imaginas	17	imaginar
3903.	habitaciones	17	habitación
3904.	grecia	17	Grecia
3905.	entré	17	entrar
3906.	díselo	17	decir
3907.	césar	17	césar César
3908.	comprado	17	comprado comprar
3909.	cocaína	17	cocaína
3910.	amarillo	17	amarillo
3911.	acabará	17	acabar
