"1_Mot"	"2_Phono"	"3_Phono_IPA"	"4_Lemme"	"5_Cgram"	"6_CgramOrtho"	"7_Genre"	"8_Nombre"	"9_InfoVER"	"10_FreqMot"	"11_FreqOrtho"	"12_FreqLemme"	"13_CDOrtho"	"14_IsLem"	"15_NbLettres"	"16_NbPhons"	"17_OLD20"	"18_PLD20"	"19_CVOrtho"	"20_CVPhono"	"21_VoisOrtho"	"22_VoisPhono"	"23_NbHomog"	"24_NbHomoph"	"25_SyllPhono"	"26_SyllNb"	"27_SyllCV"	"28_PUOrtho"	"29_PUPhon"	"30_MorphoBase"	"31_MorphoStruct"	"32_MorphoDecomp"	"33_Preval"	"34_PrevalNb"	"35_RT_FLP"	"36_zRT_FLP"	"37_Err_FLP"
cette	sEt	sɛt	cette	ADJ:dem	ADJ:dem	f	s	""	1968.630	1968.630	6521.715	98.19963	1	5	3	1.4	1	CVCCV	CVC	12	47	0	6	sEt	1	CVC	2	3	cette	"0-1-0"	/cette			641.4347826	-0.340335831	0.041666667
rien	Rj5	ʁjɛ̃	rien	PRO:ind	NOM,PRO:ind	""	s	""	1948.259	1954.247	1948.927	97.92100	1	4	3	1.3	1.1	CVVC	CYV	8	14	1	2	Rj5	1	CYV	4	3	rien	"0-1-0"	/rien	100	28	595.2	-0.716987763	0
peux	p2	pø	pouvoir	VER	VER	""	p	ind:pre:2,ind:pre:1	1930.589	1930.785	6267.658	97.35915	0	4	2	1.15	1	CVVC	CV	12	27	0	4	p2	1	CV	0	2	""	""	""	95	21	655.2777778	-0.144169915	0.217391304
quand	k@	kɑ̃	quand	CON	ADV,CON	""	""	""	1863.006	1863.810	1863.234	97.70208	1	5	2	1.9	1	CVVCC	CV	1	28	1	7	k@	1	CV	5	2	""	"0-1-0"	/quand			651.6086957	-0.393843371	0.041666667
dire	diR	diʁ	dire	VER	VER,NOM	""	p	inf,	1803.861	1862.190	6099.386	96.85701	1	4	3	1	1	CVCV	CVC	19	46	1	3	diR	1	CVC	4	3	dire	"0-1-0"	/dire	89	37	578.6521739	-0.803071042	0.041666667
son	s§	sɔ̃	son	ADJ:pos	NOM,ADJ:pos	""	s	""	1778.316	1815.997	3785.924	96.85395	1	3	2	1	1	CVC	CVV	20	333	1	5	s§	1	CV	3	3	son	"0-1-0"	/son			567.0416667	-0.697067622	0
es	E	ɛ	être	VER	VER,NOM,AUX	""	s	ind:pre:2	1725.427	2209.199	35040.212	94.51010	0	2	1	1	1	VC	V	21	37	2	21	E	1	V	1	1	""	""	""	100	19	859.875	0.537167292	0.04
vais	vE	vɛ	aller	VER	VER	""	""	ind:pre:1,inf	1713.085	1713.101	9795.946	97.03766	0	4	2	1	1	CVVC	CV	19	27	0	3	vE	1	CV	0	2	""	""	""	100	17	723.375	0.152688652	0.291666667
alors	alOR	alɔʁ	alors	ADV	ADV	""	""	""	1706.484	1706.494	1706.674	96.97030	1	5	4	1.9	1.45	VCVCC	VCVC	1	10	0	0	a-lOR	2	V-CVC	4	4	lors	"0-2-0"	/à/lors			622.625	-0.717447553	0.04
ton	t§	tɔ̃	ton	ADJ:pos	NOM,ADJ:pos	""	s	""	1626.924	1676.133	3406.509	93.15217	1	3	2	1	1	CVC	CVV	21	262	1	6	t§	1	CV	3	3	ton	"0-1-0"	/ton			661.0454545	-0.478284356	0.041666667
par	paR	paʁ	par	PRE	NOM,PRE	""	""	""	1601.222	1614.633	1601.386	97.63778	1	3	3	1	1	CVC	CVC	15	131	1	10	paR	1	CVC	3	3	par	"0-1-0"	/par			737.7619048	0.071163428	0
chose	Soz	ʃoz	chose	NOM	NOM,VER	e	s	""	1564.652	1565.165	2089.133	95.84201	1	5	3	1.45	1.05	CCVCV	CVC	8	19	1	4	Soz	1	CVC	5	1	chose	"0-1-0"	/chos(e)	100	38	588.68	-0.722478005	0
ou	u	u	ou	CON	CON	""	""	""	1554.009	1554.028	1555.006	96.77893	1	2	1	1	1	VV	V	25	37	0	8	u	1	V	2	1	ou	"0-1-0"	/ou			604.32	-0.645654971	0
des	de	de	des	ART:ind	ART:ind,NOM	""	p	""	1510.377	5856.073	1510.652	99.60043	1	3	2	1	1	CVC	CV	17	68	1	3	de	1	CV	3	1	des	"0-1-0"	/des			712.4	-0.078148699	0
